;sentiment;text
14261;1;@AmericanAir shoutout to the agent on duty now @ Gate B1 #ABQ / outstanding customer service w delayed FLT 336 http://t.co/OoEJ4d4JoP
12209;0;@AmericanAir yes they do http://t.co/wCSAZZQPae
10299;-1;@USAirways @caterobbie if that link worked most of us could take care of ourselves  please contact your tech people to get that working
4096;-1;@united said they would give us a refund. 30 days Late Flightr NO refund.
11973;1;"@AmericanAir ""Airport snow removal method #22...""
Keep up the good work folks, this is where Cessna's become 747's! http://t.co/oUmC1LrXDN"
3428;0;@united yes when I landed.
13098;1;@AmericanAir I love very much your planes, can you please follow me back? It's an amazing bussines!
8474;0;@JetBlue sure thing!
11908;-1;@AmericanAir You are jumping the gun and Cancelled Flighting flights that could've made it before the snow. Now, more Cancelled Flightlations. It's ridiculous.
13891;-1;"@AmericanAir 4828 but I just missed it because no one is at the gate to marshall us in so now I have to rent a car &amp; drive 5 hrs. So thanks."
10650;-1;"@USAirways Can you help me update KTN on the profile?  Ticket book via AA &amp; that info didn't get pass on.  I've been on hold forever"
663;1;@united private jet would have been cool! Do does not work. I'll try again
14432;-1;@AmericanAir been rebooked for tomorrow. You failed to put me on DL flight today despite my asking and available seat. DL still available
6855;-1;@JetBlue no seat assignment 5 mins before a flight...line 20 people deep. Guess I'm sitting with the baggage? @MarinaDomine
4516;0;@SouthwestAir forget wedding fairs. How about discounts for nonprofits? We donate part of our worth every single day
3213;-1;@united 5.5hrs Late Flightr and you still can't figure it out. Random text updates. #embarrassing #ua3728 http://t.co/vFTUyJh45X
365;0;@VirginAmerica Done, but I need the receipt ASAP. Could you please help? #150219-000114
7072;0;@JetBlue tell the truth - this is a pic of your social media community managers isn't it? http://t.co/e2AXlqzWvh
2923;-1;@united Did somebody say flight upgrade?
9489;-1;@USAirways Your system is affected by the weather?
6808;0;Sigh... “@JetBlue: Our fleet's on fleek. http://t.co/W5NL0AY9Bl”
4319;-1;Wanted to get my bag benefit, but instead get $25 pricing on all three tickets. When adding a card, MP Visa is only option. @united
1177;1;@united just confirmed a seat! Crisis averted! Beers won't be missed now
12627;1;@AmericanAir thank you
14413;-1;@AmericanAir Jacquelyn at Charlotte just denied me compensation after #2251 was Cancelled Flighted due to plane malfunction well within your control
1460;-1;@united there is a disconnect between your PR group and the actual business strategy and employee attitude on the ground.  #liars #united
7330;0;"@shannonwoodward If you want, we can keep you updated on who's wearing who, &amp; who's with who, &amp; who wins what. We're nice like that. ;)"
8812;-1;@JetBlue this is not a flight delay this is horrible planning on Jet Blue!!! #jetblue
11671;-1;@USAirways if I cant get through to reservations how can they take a look? 2+ hour hold times are not reasonable in any industry!
11045;-1;@USAirways problem with flight in Gainesville US Airways  5137 to CLT will miss connecting flight 5547 to IAD. When can I get another flight
6340;0;@SouthwestAir first time flyer, scheduled a (round)trip. set on departure date not sure on returning date, policy/fees on changing Re Flight
13849;0;@AmericanAir anything you can do?
8049;1;@JetBlue thank you for being jetblue and not jetgreen or jetred. blue is my favorite color! and jet blue makes it better :)
7661;0;@JetBlue @SouthwestAir @VirginAmerica @AmericanAirBR download jeokoo the American app for air travelers
4625;-1;@SouthwestAir how about #destinationdragon tix for tonite for the inconvenience since I am not there to play scavenger hunt?
